병원명,병원구분,분류,명칭,상세,구분,최저비용,최고비용,소재지,반영일,병원바로가기,Ypos,Xpos
압구정강남바른정형외과의원,의원,이학요법료,도수치료,,상세보기,"150,000","150,000",서울 강남구,9/29/21,새창,37.5255661,127.0260696
압구정본정형외과의원,의원,이학요법료,도수치료,,상세보기,"50,000","50,000",서울 강남구,9/29/21,새창,37.5277817,127.0317164
압구정서울정형외과의원,의원,이학요법료,도수치료,,상세보기,"100,000","150,000",서울 강남구,9/29/21,새창,37.5260958,127.028912
양재바른정형외과의원,의원,이학요법료,도수치료,,상세보기,"80,000","190,000",서울 강남구,9/29/21,새창,37.4785554,127.045124
양재본정형외과의원,의원,이학요법료,도수치료,,상세보기,"100,000","190,000",서울 강남구,11/23/21,새창,37.485373,127.0341031
양재성모정형외과의원,의원,이학요법료,도수치료,,상세보기,"30,000","290,000",서울 강남구,9/29/21,새창,37.4849717,127.0347727
에스엠씨신라메디컬의원,의원,이학요법료,도수치료,,상세보기,"150,000","150,000",서울 강남구,9/29/21,새창,37.5050433,127.0412654
에이케이신경외과의원,의원,이학요법료,도수치료,,상세보기,"180,000","180,000",서울 강남구,9/29/21,새창,37.5055874,127.0513027
엠레드의원,의원,이학요법료,도수치료,,상세보기,"200,000","300,000",서울 강남구,11/25/21,새창,37.52081,127.0487267
엠제이의원,의원,이학요법료,도수치료,,상세보기,"300,000","300,000",서울 강남구,9/29/21,새창,37.4902474,127.0330042
엠체형의원,의원,이학요법료,도수치료,,상세보기,"100,000","200,000",서울 강남구,9/29/21,새창,37.494206,127.0776509
역삼생생본의원·한의원,의원,이학요법료,도수치료,,상세보기,"100,000","100,000",서울 강남구,11/10/21,새창,37.5018619,127.0359135
역삼성모내과의원,의원,,,,,미제출,미제출,서울 강남구,,-,,
연세강의원,의원,이학요법료,도수치료,,상세보기,"100,000","100,000",서울 강남구,9/29/21,새창,37.4873416,127.0515495
연세그레이튼정형외과의원,의원,이학요법료,도수치료,,상세보기,"200,000","300,000",서울 강남구,9/29/21,새창,37.5044867,127.0886006
연세다엘마취통증의학과내과의원,의원,이학요법료,도수치료,,상세보기,"200,000","200,000",서울 강남구,9/29/21,새창,37.5061371,127.0340773
연세본정형외과의원,의원,이학요법료,도수치료,,상세보기,"30,000","80,000",서울 강남구,9/29/21,새창,37.6445654,126.8863524
연세새봄의원,의원,이학요법료,도수치료,,상세보기,"200,000","200,000",서울 강남구,9/29/21,새창,37.5223957,127.0379816
연세소담정신건강의학과의원,의원,,,,,보완요청중,보완요청중,서울 강남구,,새창,,
연세에스의원,의원,이학요법료,도수치료,,상세보기,"250,000","250,000",서울 강남구,9/29/21,새창,,
연세오케이마취통증의학과의원,의원,이학요법료,도수치료,,상세보기,"15,000","80,000",서울 강남구,9/29/21,새창,37.5057184,127.0481651
연세유피성형외과의원,의원,,,,,미제출,미제출,서울 강남구,,-,,
연세재활의학과의원,의원,이학요법료,도수치료,,상세보기,"90,000","270,000",서울 강남구,9/29/21,새창,37.3479193,127.9496611
연세휴정신건강의학과의원,의원,,,,,미제출,미제출,서울 강남구,,새창,,
오상신경외과의원,의원,이학요법료,도수치료,,상세보기,"100,000","150,000",서울 강남구,11/25/21,새창,,
올리나의원,의원,,,,,미제출,미제출,서울 강남구,,-,,
웰가의원,의원,이학요법료,도수치료,,상세보기,"200,000","200,000",서울 강남구,9/29/21,새창,37.5079353,127.0350285
유상호정형외과의원,의원,이학요법료,도수치료,,상세보기,"50,000","50,000",서울 강남구,9/29/21,새창,37.5068097,127.0333277
유재욱재활의학과의원,의원,이학요법료,도수치료,,상세보기,"30,000","130,000",서울 강남구,9/29/21,새창,37.4857219,127.0339328
유재활의학과의원,의원,이학요법료,도수치료,,상세보기,"100,000","290,000",서울 강남구,9/29/21,새창,37.5062114,127.0241192
은승표코리아정형외과의원,의원,이학요법료,도수치료,,상세보기,"50,000","90,000",서울 강남구,9/29/21,새창,37.5260162,127.0404584
이담외과의원,의원,이학요법료,도수치료,,상세보기,"50,000","200,000",서울 강남구,3/22/22,새창,37.5215843,127.0326467
이석휴정형외과의원,의원,이학요법료,도수치료,,상세보기,"90,000","90,000",서울 강남구,9/29/21,새창,37.4939991,127.0613534
자연주의의원,의원,이학요법료,도수치료,,상세보기,"200,000","200,000",서울 강남구,9/29/21,새창,,
참시원정형외과의원,의원,이학요법료,도수치료,,상세보기,"100,000","160,000",서울 강남구,9/29/21,새창,37.5101956,127.0426534
청담리온정형외과의원,의원,이학요법료,도수치료,,상세보기,"110,000","195,000",서울 강남구,9/29/21,새창,37.516305,127.0506102
청담마디신경외과의원,의원,이학요법료,도수치료,,상세보기,"100,000","150,000",서울 강남구,9/29/21,새창,37.5166379,127.041237
청담봄여성의원,의원,이학요법료,도수치료,,상세보기,"200,000","200,000",서울 강남구,9/29/21,새창,,
청담성모정형외과의원,의원,이학요법료,도수치료,,상세보기,"50,000","250,000",서울 강남구,9/29/21,새창,37.5149738,127.0526451
청담에스에스640의원,의원,이학요법료,도수치료,,상세보기,"50,000","250,000",서울 강남구,9/29/21,새창,,
청담오케이성형외과의원,의원,,,,,미제출,미제출,서울 강남구,,-,,
친한의사의원,의원,이학요법료,도수치료,,상세보기,"100,000","300,000",서울 강남구,9/29/21,새창,37.5250914,127.0281445
카이의원,의원,이학요법료,도수치료,,상세보기,"100,000","200,000",서울 강남구,9/29/21,새창,37.4840004,127.0942863
케이엠디의원,의원,,,,,미제출,미제출,서울 강남구,,-,,
케이플러스청담의원,의원,이학요법료,도수치료,,상세보기,"120,000","200,000",서울 강남구,9/29/21,새창,37.5233586,127.0383812
탄탄의원,의원,이학요법료,도수치료,,상세보기,"100,000","150,000",서울 강남구,9/29/21,새창,37.5179871,127.0402998
한가람신경외과의원,의원,이학요법료,도수치료,,상세보기,"50,000","150,000",서울 강남구,9/29/21,새창,37.554422,127.0100409
한나셀의원,의원,이학요법료,도수치료,,상세보기,"150,000","150,000",서울 강남구,11/25/21,새창,,
한맘플러스재활의학과의원,의원,이학요법료,도수치료,,상세보기,"100,000","190,000",서울 강남구,9/29/21,새창,37.5039718,127.0606758
허브신경과의원,의원,이학요법료,도수치료,,상세보기,"50,000","50,000",서울 강남구,9/29/21,새창,37.4979543,127.0539652
화이팅마취통증의학과의원,의원,이학요법료,도수치료,,상세보기,"100,000","195,000",서울 강남구,9/29/21,새창,37.5000225,127.0355043
화인마취통증의학과의원,의원,이학요법료,도수치료,,상세보기,"100,000","100,000",서울 강남구,9/29/21,새창,37.6020755,127.1427103
